Time,x,y,z,q1,q2,q3,q4,qdot1,qdot2,qdot3,qdot4
6.8,0.1380715296,0,0.1925561984,1.7485454639865e-16,0.0571643308394846,1.31007504765047,4.5300466344283,7.92005709472718e-17,-0.181075544522948,0.18633121999956,-0.0137351550027353
6.9,0.1385164544,0,0.1872389376,1.75473513839112e-16,0.0384071897554484,1.32874153191449,4.52918476926286,6.04430772620234e-17,-0.194034467996097,0.187068627612254,-0.00311557887135181
7,0.1389723328,0,0.1817907712,1.76113161560061e-16,0.018365613776091,1.34741146430232,4.52943091557924,1.72642040474709e-19,-0.206725561995673,0.186373410575379,0.00840398577493347
7.1,0.1394376,0,0.1762304,1.78214841427058e-16,-0.00292579731672837,1.36594125022409,4.53086677041128,1.23430492078412e-16,-0.218992718049424,0.184239550314633,0.0206467168791406
7.2,0.1399106912,0,0.1705765248,1.78263784376036e-16,-0.0254165523360759,1.38418781569159,4.53355524544589,-8.76909682236246e-17,-0.230675435943572,0.180684638811025,0.0334141061451058
7.3,0.1403900416,0,0.1648478464,1.79115989366281e-16,-0.0490400640280107,1.40201113499013,4.53753848427127,-6.90254396348844e-17,-0.241613057524265,0.175752785936452,0.0464901333177316
7.4,0.1408740864,0,0.1590630656,1.80362020580004e-16,-0.0737138606749233,1.41927696977051,4.54283635908542,-4.94453252677766e-17,-0.25164918574545,0.169516232860238,0.0596466619766265
7.5,0.1413612608,0,0.1532408832,1.81725126999243e-16,-0.0993402391563896,1.43585969379637,4.54944555868589,-1.40784146840378e-17,-0.260636049813567,0.162075407430119,0.0726498106664185
7.6,0.14185,0,0.1474,1.83907522519997e-16,-0.125807340334165,1.45164504157562,4.55733934776929,2.91133378797943e-16,-0.268438545525659,0.153557321383746,0.0852669140629508
7.7,0.1423387392,0,0.1415591168,1.87349492371206e-16,-0.152990600322237,1.46653261718272,4.56646803441896,2.87486359717981e-17,-0.274937688483473,0.144112378197931,0.0972736059284997
7.8,0.1428259136,0,0.1357369344,1.89057791906614e-16,-0.180754506639966,1.48043801541398,4.57676013332316,2.69810616903253e-16,-0.280033254560904,0.133909837137,0.108460519503049
7.9,0.1433099584,0,0.1299521536,1.89457606341366e-16,-0.208954569297422,1.49329443862237,4.58812416267146,2.3238364343231e-16,-0.283645456180954,0.123132307758425,0.118639131466707
8,0.1437893088,0,0.1242234752,1.91114728125089e-16,-0.237439405946557,1.50505373453475,4.60045096897815,-9.22664910919281e-17,-0.285715586608271,0.111969727860167,0.127646363440852
8.1,0.1442624,0,0.1185696,1.93161991252964e-16,-0.266052838642189,1.51568682667972,4.61361644119571,9.13921867871933e-19,-0.286205662939041,0.100613288844964,0.13534767890736
8.2,0.1447276672,0,0.1130092288,1.95283211785621e-16,-0.29463590713292,1.52518355350232,4.6274844569815,-6.34531254001735e-17,-0.285097178781275,0.0892497251529763,0.14163857228506
8.3,0.1451835456,0,0.1075610624,1.97877820264451e-16,-0.323028718358895,1.53355196942469,4.641909900821,2.71022075219729e-16,-0.282389142968637,0.0780562894340075,0.146444493614102
8.4,0.1456284704,0,0.1022438016,1.99899027207599e-16,-0.351072071397448,1.54081718770905,4.65674160493883,1.29175979901466e-16,-0.278095610903828,0.0671966226709012,0.149719384066991
8.5,0.1460608768,0,0.0970761472,2.02169229107644e-16,-0.37860881857894,1.54701985980962,4.6718250866617,-7.95299387752052e-17,-0.272242926217124,0.0568176078014654,0.151443098002647
8.6,0.1464792,0,0.0920768,2.04767438772202e-16,-0.405484944379359,1.55221438961176,4.68700498614102,-2.90368595988921e-17,-0.264866868769604,0.0470471975862576,0.151618033438021
8.7,0.1468818752,0,0.0872644608,2.0713160295613e-16,-0.431392876077397,1.55644448314454,4.70203409077644,6.27050090757503e-17,-0.256000230676791,0.0380362094440184,0.15023822739115
8.8,0.1472673376,0,0.0826578304,2.09374963418814e-16,-0.4565046558439,1.55983573505759,4.71694695204084,-8.66943717217681e-17,-0.245710622771988,0.0297822712084839,0.147397308849441
8.9,0.1476340224,0,0.0782756096,2.11659364232355e-16,-0.480523232016857,1.56244450523033,4.73150646782386,1.14703618332062e-16,-0.234034802296158,0.0223968701336446,0.143111651630883
9,0.1479803648,0,0.0741364992,2.14185230840158e-16,-0.503309392965976,1.56435959075413,4.7455687344707,7.59717782694688e-17,-0.22102072985979,0.0159269003706059,0.137435026970032
9.1,0.1483048,0,0.0702592,2.16277149283884e-16,-0.524731693902738,1.56567384602741,4.7589973702973,1.42487511210505e-16,-0.206714792164636,0.0103988176624733,0.130426203895211
9.2,0.1486057632,0,0.0666624128,2.18128396974438e-16,-0.544663223720413,1.56648186140592,4.77166205313381,-1.80584318550971e-17,-0.191160382420454,0.00582026161631739,0.12214599579579
9.3,0.1488816896,0,0.0633648384,2.20067823857266e-16,-0.562822667415911,1.56687665761566,4.78333581245121,4.14386534539415e-17,-0.174394404530551,0.00220768006697058,0.112643491093749
9.4,0.1491310144,0,0.0603851776,2.21964280668196e-16,-0.579418506612858,1.56695626686662,4.79411214789558,-2.85441191005863e-17,-0.156457833695892,-0.000524935221042746,0.102004917448484
9.5,0.1493521728,0,0.0577421312,2.22916808559246e-16,-0.59417164920926,1.56680500748936,4.80377412460912,-2.68803373563737e-17,-0.137377428072007,-0.00239110689084564,0.0902738650969013
9.6,0.1495436,0,0.0554544,2.24132502377474e-16,-0.606804943765793,1.56651173550074,4.81210653928593,8.27372824793076e-18,-0.117177505545476,-0.00343364224861081,0.0774991966289655
9.7,0.1497037312,0,0.0535406848000001,2.2565150373426e-16,-0.61754567516541,1.56614411214542,4.81923222861468,-1.38105523072272e-17,-0.0958814487882142,-0.00377043938235634,0.0637510424115142
9.8,0.1498310016,0,0.0520196864,2.26193423428881e-16,-0.625960204385425,1.56578116061892,4.82484018059286,6.88930431589401e-17,-0.0735037110397301,-0.00346318822654888,0.0490694227236125
9.9,0.1499238464,0,0.0509101055999999,2.26948937614205e-16,-0.632109728762775,1.56547432624033,4.82895251226084,-1.17257178224895e-17,-0.0500580357128283,-0.00264197417929655,0.0335139273917576
10,0.1499807008,0,0.0502306432,2.2742496581417e-16,-0.635940194752347,1.56526539195874,4.83151987576109,7.69989940948074e-19,-0.0255542223077269,-0.00143849181613958,0.017138817312383
10.1,0.15,0,0.05,2.27614825474848e-16,-0.63730587525897,1.56518748338979,4.83243632229553,0,-0,0,0
10.2,0.15,0,0.05,2.27614825474848e-16,-0.63730587525897,1.56518748338979,4.83243632229553,0,0,-0,0
10.3,0.15,0,0.0501776,2.27542857265711e-16,-0.637141189223652,1.5651779073763,4.83233937765178,-6.44546806064569e-18,0.0194763179453415,-0.000139941875250731,-0.0121731302420653
10.4,0.15,0,0.0507008,2.27082544202265e-16,-0.634419017677622,1.56513884705837,4.83065102592428,-6.30369974968792e-18,0.0381445780210744,-0.000372554006549272,-0.0238018911597869
10.5,0.15,0,0.0515552,2.26503428384312e-16,-0.629588919687075,1.56507795302405,4.82764408821589,-1.42506508302815e-17,0.0559905798990393,-0.000804054469103507,-0.0348353829737993
10.6,0.15,0,0.0527264,2.2579347885056e-16,-0.623095859557984,1.56496488771285,4.82361341248886,-2.06003261324361e-17,0.0730032392891298,-0.00150132897912771,-0.0452383306846032
10.7,0.15,0,0.0542,2.25067508366549e-16,-0.615073354877067,1.5647699477231,4.81865578060667,8.25895748275338e-19,0.0891709062798498,-0.00252170577893966,-0.0549774379093389
10.8,0.15,0,0.0559616,2.23730978216576e-16,-0.605303560821627,1.56444850876326,4.81265322605728,-3.27932027236258e-17,0.104476279803263,-0.00394369378179603,-0.0640052204379894
10.9,0.15,0,0.0579968,2.22591201373546e-16,-0.594183248021248,1.56396988389637,4.8058681828071,-1.9937133243159e-17,0.118908976817165,-0.00578191268914787,-0.0723027103172413
11,0.15,0,0.0602912,2.20905969427497e-16,-0.581665965670227,1.5632858079273,4.79829293530351,1.56181922863347e-17,0.132451492343202,-0.00807971364042065,-0.0798324754501628
11.1,0.15,0,0.0628304,2.19440146226906e-16,-0.567661989109707,1.56233535710817,4.78989890413418,-1.86525066632427e-17,0.145081796046976,-0.0108841630195211,-0.0865496514863364
11.2,0.15,0,0.0656,2.17552087015582e-16,-0.552590881753342,1.56109204671098,4.78096365125467,9.06633166979087e-18,0.156790155836738,-0.014161518862722,-0.0924505943326367
11.3,0.15,0,0.0685856,2.15946768848702e-16,-0.536397672466038,1.55949728499189,4.77148189825554,-6.29104018634889e-17,0.167554259031032,-0.0179314400744345,-0.0974983800977421
11.4,0.15,0,0.0717728,2.13738836428736e-16,-0.519173615115224,1.55750173903257,4.76153767924507,1.41980080036602e-17,0.177354724841692,-0.0221847295565867,-0.101668965664572
11.5,0.15,0,0.0751472,2.12061283588128e-16,-0.501015965707636,1.55505787260581,4.75121963055008,2.76418475511197e-17,0.18617236090146,-0.0269014142965457,-0.104942105991504
11.6,0.15,0,0.0786944,2.10035223584456e-16,-0.481859024954946,1.55209269383925,4.74052750128504,-2.22961619869913e-17,0.193978693556007,-0.0320851153610217,-0.107278067336406
11.7,0.15,0,0.0824,2.07745408369618e-16,-0.462124342739353,1.54861498999822,4.7297314426659,-1.90737989367706e-17,0.200774483873759,-0.0376322158338799,-0.10871034838385
11.8,0.15,0,0.0862496,2.05993994409334e-16,-0.441763062466637,1.5445655067286,4.71883894120292,-1.90566312729956e-18,0.206536914528804,-0.0435224252933136,-0.109215494490125
11.9,0.15,0,0.0902288,2.03594664906339e-16,-0.420876263567814,1.53991207877436,4.70794093481183,9.25022368273611e-17,0.211253966484054,-0.0496977745544412,-0.108797125111622
12,0.15,0,0.0943232,2.01639228086613e-16,-0.399568936441444,1.53462933188987,4.6971291166681,-4.83764512823614e-17,0.214917796688984,-0.0560912996866448,-0.107468226841681
12.1,0.15,0,0.0985184,1.99229957418859e-16,-0.377946674820369,1.52869898575608,4.68649343092779,-3.0098398992877e-17,0.217525498218722,-0.0626284927555798,-0.105251780551783
12.2,0.15,0,0.1028,1.97250897392165e-16,-0.356115078573373,1.5221105457127,4.67612100328654,3.7908031206256e-17,0.219080001489003,-0.0692284100267833,-0.102181609089501
12.3,0.15,0,0.1071536,1.95317300140077e-16,-0.334179124301174,1.51486188451037,4.66609502702103,8.3767507700846e-17,0.219590905292629,-0.0758049971594824,-0.0983029714490567
12.4,0.15,0,0.1115648,1.93260863677432e-16,-0.312242459807896,1.506959680735,4.65649360580494,1.78778974046709e-17,0.219075184745205,-0.0822686273133789,-0.0936728226748025
12.5,0.15,0,0.1160192,1.90855018309843e-16,-0.29040663625754,1.4984196936118,4.64738858896392,-5.41312173308207e-18,0.217557727538189,-0.0885278225956289,-0.0883596842717637
12.6,0.15,0,0.1205024,1.89150347108088e-16,-0.268770297630564,1.48926685832212,4.6388444400015,1.1520920936009e-18,0.215071652491533,-0.0944911051177495,-0.0824430892692071
12.7,0.15,0,0.125,1.87326400885276e-16,-0.247428351333776,1.47953519200456,4.63091718165443,-2.78331130116206e-17,0.211658372046622,-0.100068910228756,-0.0760125901535121
12.8,0.15,0,0.1294976,1.85450559951875e-16,-0.226471147070068,1.46926750817506,4.62365346038184,-2.34764356392414e-17,0.207367371139015,-0.105175480628114,-0.0691663500479093
12.9,0.15,0,0.1339808,1.8376640549847e-16,-0.205983693042043,1.45851494590093,4.61708976990557,1.18200188406557e-17,0.202255691153108,-0.109730652563,-0.0620093634784522
13,0.15,0,0.1384352,1.82291089402773e-16,-0.186044938933653,1.44733632902198,4.61125186735219,-2.67243922304206e-17,0.196387122440504,-0.113661443702611,-0.0546513811821478
13.1,0.15,0,0.1428464,1.80989830842871e-16,-0.166727153722801,1.4357973792811,4.60615440717452,-1.59017909923771e-17,0.189831128289746,-0.116903364591642,-0.0472046328098008
13.2,0.15,0,0.1472,1.79599442824495e-16,-0.14809542336417,1.42396981445643,4.60180080789964,1.67971105774489e-17,0.18266153777111,-0.119401389517998,-0.0397814544913217
13.3,0.15,0,0.1514816,1.78247072157525e-16,-0.130207288867166,1.41193036787211,4.59818335589743,2.383500257515e-18,0.174955058077416,-0.121110545099059,-0.0324919303508706
13.4,0.15,0,0.1556768,1.77131079472775e-16,-0.113112539715409,1.39975976842421,4.59528353966396,6.62181442491472e-17,0.16678966730089,-0.121996104963675,-0.0254416529083576
